#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2017-12-13-10-14-01
#types
#time	string	addr	srcort	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1295981569.690102	CxbQxe2V3zKlWII0L	192.168.3.131	56032	65.54.95.140	80	tcp	http	13.583389	584	961	SF	-	-	0	ShADdfFa	6	836	4	1133	(empty)
1295981569.689956	CLd3ikBL4T43sLpQ3	192.168.3.131	56031	65.54.95.140	80	tcp	http	13.583587	595	1460	SF	-	-	0	ShADdfFa	6	847	4	1632	(empty)
1295981569.473441	Cjkjv33lEgTybfg4cd	192.168.3.131	56026	65.54.95.140	80	tcp	http	13.800152	1820	6227	SF	-	-	0	ShADdfFa	9	2192	8	6559	(empty)
1295981569.473600	CLCqYR3yotJtAHyYDb	192.168.3.131	56027	65.54.95.140	80	tcp	http	13.800043	3033	5732	SF	-	-	0	ShADdfFa	12	3525	8	6064	(empty)
1295981569.628397	C3dkEg3iNgtAzyACo7	192.168.3.131	56028	65.54.95.142	80	tcp	http	13.645301	622	5092	SF	-	-	0	ShADdfFa	7	914	7	5384	(empty)
1295981569.628538	C1z61LF0KrPYCkoxj	192.168.3.131	56029	65.54.95.142	80	tcp	http	13.645209	1231	6881	SF	-	-	0	ShADdfFa	9	1603	9	7253	(empty)
1295981570.254799	C9Zicvf4eQa6MyaAa	192.168.3.131	56044	65.54.95.216	80	tcp	http	13.019041	530	18113	SF	-	-	0	ShADadfF	13	1062	17	18805	(empty)
1295981572.752055	CYdL501cSKXfyeC9uf	192.168.3.131	56070	65.54.95.68	80	tcp	http	10.521844	676	34748	SF	-	-	0	ShADadfF	16	1328	28	35880	(empty)
1295981571.788123	CpU7Qlyzjci4NCXTd	192.168.3.131	56064	65.54.95.75	80	tcp	http	11.485828	1354	158965	SF	-	-	0	ShADadfF	54	3526	115	163577	(empty)
1295981571.250755	CNXSF2Yx6XIQMMfJd	192.168.3.131	56057	65.54.95.66	80	tcp	http	12.023254	1818	5950	SF	-	-	0	ShADadfF	9	2190	10	6362	(empty)
1295981571.591766	CFT6Ml3MBqniiGq5q3	192.168.3.131	56059	65.54.95.39	80	tcp	http	11.682307	2145	6674	SF	-	-	0	ShADadfF	13	2677	12	7166	(empty)
1295981571.171240	CGL02W2GZ6wwMHI8r8	192.168.3.131	56055	65.54.95.39	80	tcp	http	12.102883	2807	9969	SF	-	-	0	ShADadfF	15	3419	15	10581	(empty)
1295981571.171368	CLNu2R9TUw8ViF9qk	192.168.3.131	56056	65.54.95.39	80	tcp	http	12.102802	2195	4210	SF	-	-	0	ShADadfF	12	2687	10	4622	(empty)
1295981572.637447	CnS35q493iAZkhg0L6	192.168.3.131	56069	65.54.95.75	80	tcp	http	10.636777	3202	24160	SF	-	-	0	ShADadfF	16	3854	22	25052	(empty)
1295981573.237389	CilzJFz6Vw7d2vcvk	192.168.3.131	56073	65.54.95.75	80	tcp	http	10.036884	3814	29867	SF	-	-	0	ShADadfF	20	4626	29	31039	(empty)
1295981570.986149	CA2v7NMjVXSl283c6	192.168.3.131	56050	66.235.139.121	80	tcp	-	12.409636	0	0	RSTR	-	-	0	ShAr	2	92	2	92	(empty)
1295981569.011248	C5jh52464y3wVX5Gl	192.168.3.131	56021	66.235.139.121	80	tcp	http	14.386742	6999	2523	RSTR	-	-	5664	ShADdar	6	1587	9	2895	(empty)
1295981585.063571	CANx9PVb6w0C8ZcU9	192.168.3.131	58350	208.82.236.129	80	tcp	http	0.109096	589	2406	SF	-	-	0	ShADdfFa	5	801	5	2618	(empty)
1295981585.227532	C122pz3ClHnWz13NBd	192.168.3.131	58351	208.82.236.130	80	tcp	http	0.163485	443	9166	SF	-	-	0	ShADdfFa	7	735	10	9578	(empty)
1295981585.227685	Chopqv1gGr9c9Nl6sj	192.168.3.131	58352	208.82.236.130	80	tcp	http	0.164031	443	5918	SF	-	-	0	ShADdfFa	6	695	8	6250	(empty)
1295981585.227802	C8nh2K2nr3jrz5b2gf	192.168.3.131	58353	208.82.236.130	80	tcp	http	0.179655	443	9716	SF	-	-	0	ShADdfFa	7	735	10	10128	(empty)
1295981582.471164	CT15kj4SEzOcIu6V0k	192.168.3.131	52257	65.54.95.39	80	tcp	http	3.887511	261	176	SF	-	-	0	ShADadfF	6	513	5	388	(empty)
1295981587.058466	ChLewh3eNR0niwQySk	192.168.3.131	52266	65.54.95.39	80	tcp	http	3.302062	295	176	SF	-	-	0	ShADadfF	6	547	5	388	(empty)
1295981581.605478	CMzIFl4le9QWnRrMTe	192.168.3.131	56092	65.54.95.68	80	tcp	http	9.001580	660	4978	SF	-	-	0	ShADadfF	7	952	8	5310	(empty)
1295981581.610256	CDzzPs4Uz294mQjMNc	192.168.3.131	56093	65.54.95.68	80	tcp	http	11.662990	676	27502	SF	-	-	0	ShADadfF	14	1248	23	28434	(empty)
1295981581.603011	CBTnFfOELSm0SAbYf	192.168.3.131	56090	65.54.95.75	80	tcp	http	11.670368	660	3382	SF	-	-	0	ShADadfF	7	952	8	3714	(empty)
1295981581.605126	CtsjBR3UwyIQsa0hn8	192.168.3.131	56091	65.54.95.75	80	tcp	http	11.668291	660	5495	SF	-	-	0	ShADadfF	7	952	9	5867	(empty)
1295981588.639251	CDipEO3qxWoAp37Urg	192.168.3.131	58360	208.82.236.129	80	tcp	http	6.693312	589	2456	SF	-	-	0	ShADdfFa	5	801	5	2668	(empty)
1295981588.639585	Cyjgja2U88HmQOF606	192.168.3.131	58361	208.82.236.130	80	tcp	http	6.825250	443	8822	SF	-	-	0	ShADdfFa	6	695	10	9234	(empty)
1295981595.397310	Ca8j5v3OtlkQWpcpBc	192.168.3.131	58377	208.82.236.130	80	tcp	http	0.162112	443	8328	SF	-	-	0	ShADdfFa	6	695	9	8700	(empty)
1295981595.397561	CmYkAU3DaEUk8D0WUc	192.168.3.131	58378	208.82.236.130	80	tcp	http	0.173285	443	8748	SF	-	-	0	ShADdfFa	7	735	9	9120	(empty)
1295981596.084178	C6PO7S5CF66yCX6sf	192.168.3.131	56129	207.46.148.38	80	tcp	http	0.032920	645	2414	SF	-	-	0	ShADdfFa	5	857	4	2582	(empty)
1295981596.385761	CALQLDvKTbTUNy1Rg	192.168.3.131	56135	207.46.148.38	80	tcp	http	0.034952	646	1865	SF	-	-	0	ShADdfFa	5	858	4	2033	(empty)
1295981602.500683	CQJWhGcqLduIp4lRl	192.168.3.131	57838	72.14.213.105	80	tcp	-	0.000073	0	0	SHR	-	-	0	^fA	1	40	1	40	(empty)
1295981596.207754	Cz7eh648lv16Ukhd8l	192.168.3.131	56132	65.54.95.140	80	tcp	http	7.064774	906	37189	SF	-	-	0	ShADdfFa	17	1598	29	38361	(empty)
1295981596.019405	C7hSlLbinkWUr8PV1	192.168.3.131	56127	65.54.95.140	80	tcp	http	7.253273	898	1464	SF	-	-	0	ShADdfFa	6	1150	5	1676	(empty)
1295981596.021503	CPYvYn4lcKPeeGaLw5	192.168.3.131	56128	65.54.95.140	80	tcp	http	7.251228	1788	4334	SF	-	-	0	ShADdfFa	8	2120	7	4626	(empty)
1295981596.263201	CeZiPm1qrMznvZLWqg	192.168.3.131	56133	65.54.95.216	80	tcp	http	7.009602	756	40406	SF	-	-	0	ShADadfF	19	1528	32	41698	(empty)
1295981597.665382	CZc5R12bf0uSjr3yye	192.168.3.131	56140	65.54.95.68	80	tcp	http	5.607475	669	173236	SF	-	-	0	ShADadfF	59	3041	126	178288	(empty)
1295981590.606340	CrMEQP578GqRZuwd7	192.168.3.131	56110	65.54.95.68	80	tcp	http	12.666571	677	33833	SF	-	-	0	ShADadfF	16	1329	28	34965	(empty)
1295981597.366619	CXT1H5t7UZALdiSo	192.168.3.131	56139	65.54.95.75	80	tcp	http	5.906344	678	124223	SF	-	-	0	ShADadfF	42	2370	91	127875	(empty)
1295981571.600911	Cg6NdE13H4khL3Iam5	192.168.3.131	56060	65.54.95.39	80	tcp	http	31.672116	1092	6352	SF	-	-	0	ShAaDdfF	9	1464	10	6764	(empty)
1295981590.607305	CroOBR19nTVaiTjvrj	192.168.3.131	56112	65.54.95.68	80	tcp	http	12.665778	660	5286	SF	-	-	0	ShADadfF	7	952	8	5618	(empty)
1295981590.606893	CPrDNn18SSXfTyJQD6	192.168.3.131	56111	65.54.95.75	80	tcp	http	12.666242	660	3814	SF	-	-	0	ShADadfF	7	952	7	4106	(empty)
1295981590.607603	C6cJVo2REj1908B5yk	192.168.3.131	56113	65.54.95.75	80	tcp	http	12.665582	660	5469	SF	-	-	0	ShADadfF	7	952	8	5801	(empty)
1295981598.051761	CB4pJD5uHrKuMV1Pk	192.168.3.131	56141	65.54.95.75	80	tcp	http	5.221475	2057	501	SF	-	-	0	ShADadfF	9	2429	7	793	(empty)
1295981599.262877	CINV6q1OsYizguSROg	192.168.3.131	58388	208.82.236.129	80	tcp	http	6.306628	619	3624	SF	-	-	0	ShADadfF	5	831	7	3916	(empty)
1295981595.554672	CLDFMA2RNhdHyTZxW7	192.168.3.131	56126	66.235.139.121	80	tcp	-	11.260942	8420	2613	SF	-	-	6219	ShAadFRf	6	252	11	3065	(empty)
1295981607.307899	C2uYqw2KN5fzLB5tLe	192.168.3.131	56163	207.46.148.38	80	tcp	http	0.043851	645	573	SF	-	-	0	ShADfFa	5	857	3	701	(empty)
1295981607.802337	C5UOGo4mGbfmcoayR1	192.168.3.131	56167	12.129.210.71	80	tcp	http	0.093937	884	2185	SF	-	-	0	ShADdfFa	5	1096	4	2349	(empty)
1295981609.207371	Cfg4yf1ZWhub997i8j	192.168.3.131	58410	208.82.236.129	80	tcp	http	0.108096	592	2448	SF	-	-	0	ShADdfFa	5	804	5	2660	(empty)
1295981599.263263	CvL0zTSyv39GGbqAa	192.168.3.131	58389	208.82.236.130	80	tcp	http	10.189574	443	6511	SF	-	-	0	ShADdfFa	6	695	8	6843	(empty)
1295981595.940729	COd47h1lLRPUXKaNX5	192.168.3.131	58381	204.9.163.166	80	tcp	http	13.650222	299	218	SF	-	-	0	ShADadfF	6	551	5	430	(empty)
1295981611.406127	CyIZdP3lsbj6ys7BNh	192.168.3.131	57838	72.14.213.105	80	tcp	-	0.019115	0	0	SH	-	-	0	Fa	1	40	1	40	(empty)
